e5_50m_d768_r539: params=49,918,464, depth=20, rank/dim=70.2%
Step 100 | Loss 1.9141 | PPL 6.8 | 58265 tok/s
Step 200 | Loss 1.7578 | PPL 5.8 | 58071 tok/s
Step 300 | Loss 1.8125 | PPL 6.1 | 58012 tok/s
Step 400 | Loss 1.5469 | PPL 4.7 | 57982 tok/s
Step 500 | Loss 1.6250 | PPL 5.1 | 57965 tok/s
Step 600 | Loss 1.7344 | PPL 5.7 | 57953 tok/s
Step 700 | Loss 1.4609 | PPL 4.3 | 57944 tok/s
Step 800 | Loss 1.9688 | PPL 7.2 | 57943 tok/s
Step 900 | Loss 1.7656 | PPL 5.8 | 57947 tok/s
Step 1000 | Loss 1.4297 | PPL 4.2 | 57949 tok/s
DONE: e5_50m_d768_r539 | Final loss: 1.4297
